JobTitle,Company,Location,Salary,PostDate,Summary,JobUrl
Data Scientist,Lowe's,"Charlotte, NC 28202 (Downtown Charlotte area)+1 location",Works with more senior level scientists on the team to translate requirements into an analytical approach; asks the right questions to understand the problem.,,Posted 2 days ago,https://www.indeed.com/rc/clk?jk=e864c5012532c29a&fccid=402f23c7b01ca527&vjs=3
Student Employee - Data Science,Electric Power Research Institute,"Charlotte, NC+2 locations",Candidates will support subject matter experts and data scientists in a variety of data analysis tasks that may include: literature review; data review and…,$65.2K - $82.6K a year,Posted 30+ days ago,https://www.indeed.com/company/Electric-Power-Research-Institute/jobs/Student-Employee-be68aec21758c468?fccid=71084fa2202b6e9d&vjs=3
Data Scientist,LendingTree,"Charlotte, NC",1-3 years working as a data scientist with prior experience in applying machine learning and statistical approaches to solve impactful problems in an industry…,$98.7K - $125K a year,Posted 30 days ago,https://www.indeed.com/rc/clk?jk=a58cf99ce923eb59&fccid=e9e15932789966e0&vjs=3
Data Scientist l,Truist Financial,"Charlotte, NC 28269+1 location",To provide actionable insights that improve business outcomes and minimize risk and also provide consultation to business leaders and other stakeholders on how…,,Posted 29 days ago,https://www.indeed.com/rc/clk?jk=94faf4559a64c53e&fccid=035229327af06091&vjs=3
Data Scientist,Deloitte,"Charlotte, NC 28202 (Downtown Charlotte area)+7 locations","Bachelors/Master's degree required in a quantitative field (engineering, mathematics, physics, machine learning, statistics or computer science).",,Posted 6 days ago,https://www.indeed.com/rc/clk?jk=849051313c51b4b6&fccid=9e215d88a6b33622&vjs=3
Lead Data Scientist,Lowe's,"Charlotte, NC 28202 (Downtown Charlotte area)+2 locations",Leverages deep understanding of statistical techniques and tools to analyze data according to the project plan; communicates with stakeholders to provide…,,Posted 12 days ago,https://www.indeed.com/rc/clk?jk=ae8a850907e6bfb0&fccid=402f23c7b01ca527&vjs=3
Data Scientist,Endress+Hauser Inc.,"Remote in Charlotte, NC 28273","Continuously assess fit to introduce and implement Industry 4.0 opportunities to the Endress+Hauser organization, as well as digital products & services as they…",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=3f2cd634db6602ed&fccid=2366ef800eee3de5&vjs=3
Data Scientist I,Bank of America,"Charlotte, NC 28202 (Fourth Ward area)+4 locations","Your primary focus will be in applying data science techniques, including machine learning, deep learning, natural language processing, statistical analysis,…",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=131f02451f8c75fa&fccid=5bd99dfa21c8a490&vjs=3
Data & Applied Scientist,Microsoft,"Charlotte, NC+2 locations","3+ years applied data science experience, including advanced analytics experience focused on enterprise-specific problem solving.",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=9c35c62b90a4e298&fccid=734cb5a01ee60f80&vjs=3
Data Scientist,Comcentric,"Hybrid remote in Charlotte, NC","Create data visualizations, reports, dashboards, and data audits. Build, deploy, and maintain data management systems and front-end data.",$99.3K - $126K a year,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=0fa1231e0c226eec&fccid=c14cd58239fe452f&vjs=3
Data Scientist,Grid Dynamics,"Charlotte, NC 28262 (University City North area)","Or a Master's Degree in Computer Science, Statistics, Math, Economics, Engineering, or Data Science related fields with 2+ years of relevant experience as a…",$104K - $132K a year,Posted 4 days ago,https://www.indeed.com/rc/clk?jk=f7eb9ee2b6dd8b3d&fccid=9e6cc9e51c2613ab&vjs=3
Associate Data Scientist (Remote),The Hartford,"Remote in Charlotte, NC",The ideal candidate will also be familiar with common data visualization techniques and will have the ability to communicate key data-related findings to…,,Posted 16 days ago,https://www.indeed.com/rc/clk?jk=7bb7f81ec76db3b9&fccid=25d3835187829237&vjs=3
Data Scientist,Universal Music Group,"Charlotte, NC+1 location","Additionally, you’ll act as a data science subject matter expert by championing data science best practices. Document designs and findings, and present to team…",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=fff54f433292c69d&fccid=cc6e623ce335957a&vjs=3
"Specialist, Data Scientist",KPMG,"Charlotte, NC 28202 (Fourth Ward area)","Analyze structured and unstructured data, understand and implement algorithms, and support analysis using advanced statistical and mathematical methods form…",,Posted 3 days ago,https://www.indeed.com/rc/clk?jk=39cf67a4edbd2f23&fccid=2dd390c3a48a7ed0&vjs=3
Sr Data Scientist,Lowe's,"Charlotte, NC 28202 (Downtown Charlotte area)+2 locations",Leverages deep understanding of statistical techniques and tools to analyze data according to the project plan; communicates with stakeholders to provide…,,Posted 24 days ago,https://www.indeed.com/rc/clk?jk=0d5ab6b77617ccba&fccid=402f23c7b01ca527&vjs=3
